item_id,restaurant_id,item_name,price
120,30,Momos,456.11
121,26,Chole Bhature,504.56
122,48,Hakka Noodles,380.72
123,3,Kadai Paneer,259.16
124,5,Aloo Paratha,596.94
125,5,Fish Curry,96.5
126,27,Idli Sambar,479.87
127,50,Kadai Paneer,274.72
128,25,Chicken 65,532.2
129,25,Paneer Butter Masala,121.73
130,43,Aloo Paratha,149.15
131,23,Chicken Biryani,172.81
132,35,Paneer Butter Masala,355.0
133,47,Fried Rice,514.11
134,49,Butter Chicken,588.82
135,30,Aloo Paratha,300.55
136,25,Fried Rice,208.71
137,23,Masala Dosa,223.34
138,47,Chicken Biryani,96.75
139,43,Kadai Paneer,399.76
140,2,Fried Rice,187.16
141,7,Samosa Chaat,97.46
142,39,Paneer Tikka,207.26
143,3,Paneer Butter Masala,308.26
144,35,Hakka Noodles,472.28
145,50,Paneer Tikka,152.87
146,19,Fried Rice,504.21
147,47,Pav Bhaji,245.83
148,39,Gulab Jamun,203.19
149,10,Dal Tadka,194.94
150,20,Chole Bhature,111.7
151,38,Idli Sambar,405.52
152,28,Aloo Paratha,337.72
153,23,Paneer Butter Masala,488.62
154,21,Kadai Paneer,292.29
155,20,Paneer Butter Masala,175.62
156,35,Fish Curry,205.3
157,15,Momos,525.92
158,10,Chicken 65,555.67
159,36,Kadai Paneer,583.25
160,36,Dal Tadka,149.73
161,16,Chole Bhature,185.74
162,42,Veg Biryani,559.56
163,24,Veg Biryani,358.53
164,13,Paneer Tikka,219.6
165,44,Samosa Chaat,393.52
166,5,Hakka Noodles,498.42
167,38,Aloo Paratha,192.85
168,14,Gulab Jamun,237.66
169,1,Hakka Noodles,567.32
170,48,Chicken Biryani,468.38
171,49,Fish Curry,555.51
172,45,Samosa Chaat,445.96
173,26,Fried Rice,367.08
174,50,Momos,277.94
175,35,Rasgulla,240.38
176,24,Dal Tadka,539.06
177,30,Chicken Biryani,497.46
178,47,Fish Curry,476.05
179,21,Hakka Noodles,272.77
180,27,Paneer Tikka,372.51
181,15,Masala Dosa,88.43
182,36,Pav Bhaji,381.15
183,27,Momos,159.25
184,22,Fried Rice,277.52
185,16,Fish Curry,366.33
186,44,Gulab Jamun,213.81
187,32,Fish Curry,319.63
188,47,Rasgulla,168.02
189,47,Aloo Paratha,333.92
190,35,Paneer Tikka,352.45
191,5,Paneer Tikka,477.46
192,27,Masala Dosa,518.12
193,15,Veg Biryani,447.73
194,1,Hakka Noodles,342.98
195,24,Paneer Tikka,401.27
196,43,Samosa Chaat,554.63
197,43,Fish Curry,88.18
198,35,Aloo Paratha,293.9
199,2,Dal Tadka,455.54
200,35,Momos,88.91
201,45,Kadai Paneer,499.21
202,12,Chicken Biryani,557.39
203,34,Masala Dosa,205.3
204,40,Dal Tadka,211.26
205,23,Chole Bhature,493.37
206,6,Rasgulla,578.83
207,30,Pav Bhaji,206.47
208,45,Fried Rice,235.99
209,6,Paneer Tikka,128.62
210,25,Paneer Butter Masala,367.4
211,4,Butter Chicken,445.48
212,6,Fish Curry,519.57
213,42,Gulab Jamun,374.25
214,7,Dal Tadka,557.96
215,15,Hakka Noodles,548.66
216,45,Pav Bhaji,327.26
217,3,Veg Biryani,435.9
218,18,Aloo Paratha,373.03
219,3,Idli Sambar,562.96
220,21,Butter Chicken,579.96
221,38,Masala Dosa,471.17
222,46,Paneer Butter Masala,563.01
223,20,Idli Sambar,373.26
224,37,Paneer Butter Masala,432.06
225,35,Gulab Jamun,279.6
226,48,Masala Dosa,491.06
227,45,Veg Biryani,340.41
228,23,Paneer Tikka,130.8
229,15,Veg Biryani,257.11
230,50,Samosa Chaat,576.53
231,26,Gulab Jamun,95.41
232,18,Chicken 65,335.11
233,23,Aloo Paratha,569.39
234,28,Idli Sambar,433.44
235,43,Paneer Butter Masala,124.56
236,40,Momos,494.99
237,46,Veg Biryani,122.66
238,10,Paneer Butter Masala,450.07
239,41,Masala Dosa,464.62
240,21,Rasgulla,135.41
241,1,Momos,311.26
242,49,Chole Bhature,133.16
243,6,Idli Sambar,304.11
244,36,Aloo Paratha,346.47
245,7,Butter Chicken,126.6
246,36,Veg Biryani,390.4
247,21,Paneer Butter Masala,86.42
248,27,Paneer Butter Masala,485.17
249,47,Aloo Paratha,550.71
250,16,Pav Bhaji,350.97
