order_detail_id,order_id,item_id,quantity
180,934,80,4
181,964,60,2
182,295,221,5
183,529,234,3
184,803,47,3
185,666,117,4
186,62,17,4
187,232,90,4
188,945,217,2
189,579,197,3
190,1238,148,2
191,1041,27,4
192,1463,204,1
193,668,143,1
194,619,137,4
195,821,152,4
196,489,159,2
197,1123,41,4
198,787,17,3
199,427,209,5
200,883,201,4
201,1162,202,3
202,1116,178,2
203,355,170,1
204,1458,147,4
205,235,152,5
206,949,84,5
207,200,211,4
208,361,79,4
209,143,154,1
210,1404,209,5
211,777,84,4
212,1321,170,1
213,186,56,2
214,1190,232,1
215,301,170,2
216,928,137,3
217,799,158,5
218,916,51,2
219,1396,225,3
220,614,146,3
221,891,184,3
222,183,150,1
223,1253,131,4
224,262,219,3
225,128,95,5
226,109,1,5
227,736,29,3
228,64,61,4
229,1439,152,4
230,1281,82,4
231,832,98,4
232,1117,55,2
233,973,36,2
234,1138,99,3
235,855,40,3
236,1373,33,2
237,24,19,1
238,295,185,4
239,1348,112,2
240,174,36,4
241,934,229,5
242,872,160,2
243,931,131,4
244,1131,210,4
245,788,91,2
246,381,109,5
247,16,148,4
248,1497,61,5
249,552,106,5
250,1181,94,1
251,78,146,4
252,1444,95,1
253,1189,124,1
254,291,187,5
255,573,120,5
256,161,134,5
257,182,63,4
258,1292,190,1
259,1401,163,5
260,1188,80,5
261,109,232,3
262,1096,200,1
263,961,117,5
264,961,147,3
265,863,91,3
266,593,43,1
267,1424,237,5
268,623,187,5
269,534,16,4
270,1185,44,5
271,106,169,3
272,1279,7,3
273,993,22,2
274,1036,20,3
275,517,34,5
276,576,71,3
277,30,190,1
278,1237,45,5
279,310,169,4
280,758,207,2
281,536,201,2
282,994,47,5
283,68,88,1
284,298,153,2
285,1016,193,4
286,785,61,4
287,1487,164,2
288,432,148,3
289,112,165,3
290,238,14,2
291,951,103,4
292,618,122,5
293,479,98,4
294,972,68,2
295,1087,223,4
296,25,74,4
297,783,174,3
298,1086,175,1
299,200,235,5
300,1306,91,4
301,1251,236,3
302,687,70,3
303,202,66,5
304,802,119,2
305,1377,151,2
306,1065,87,2
307,642,141,1
308,1378,3,1
309,25,106,1
310,1076,27,4
311,720,57,3
312,516,50,1
313,49,159,1
314,117,241,5
315,1345,229,2
316,1228,164,1
317,1451,246,1
318,177,220,5
319,267,97,5
320,379,230,1
321,1425,48,3
322,604,120,1
323,1309,117,3
324,875,178,3
325,528,42,1
326,568,199,1
327,784,100,3
328,124,67,3
329,365,113,1
330,1008,238,2
331,1250,101,2
332,1322,126,1
333,295,139,4
334,448,158,1
335,905,184,3
336,212,9,1
337,145,147,3
338,914,5,4
339,305,168,1
340,78,171,4
341,546,39,3
342,802,148,1
343,1056,182,4
344,980,112,4
345,1491,200,1
346,1107,58,1
347,788,245,4
348,249,146,5
349,736,86,3
350,821,15,1
351,749,137,3
352,165,216,4
353,594,166,2
354,362,142,1
355,787,170,2
356,613,179,4
357,219,162,3
358,997,22,4
359,389,36,1
360,396,7,5
361,489,126,4
362,130,203,5
363,1318,79,4
364,1094,248,4
365,34,10,3
366,115,87,1
367,831,31,2
368,1340,171,5
369,939,241,5
370,306,190,5
371,478,237,1
372,76,189,2
373,1002,168,1
374,966,233,5
375,94,63,2
376,30,45,1
377,630,211,1
378,935,157,2
379,1211,17,1
380,234,128,5
381,1261,57,1
382,416,110,3
383,1390,103,3
384,248,250,5
385,1118,36,3
386,437,196,1
387,1215,45,3
388,130,31,3
389,290,194,4
390,345,179,3
391,1134,43,4
392,499,237,5
393,84,35,1
394,1295,157,4
395,324,5,4
396,166,2,1
397,368,238,1
398,1448,167,5
399,582,107,4
400,1418,33,2
401,294,164,3
402,1072,116,4
403,490,241,2
404,1251,178,1
405,1222,47,4
406,1254,244,1
407,1285,212,3
408,713,108,1
409,1143,61,2
410,241,136,1
411,1268,93,5
412,1040,57,4
413,1283,169,2
414,567,14,2
415,231,204,2
416,1404,217,4
417,1019,46,2
418,1373,237,1
419,111,166,3
420,584,54,4
421,515,86,5
422,929,12,1
423,108,237,5
424,361,41,1
425,994,132,1
426,146,230,2
427,1478,114,5
428,1188,84,4
429,408,192,3
430,472,200,1
431,668,59,1
432,486,189,4
433,410,97,2
434,151,121,5
435,993,14,4
436,297,56,5
437,932,46,4
438,765,35,4
439,1475,50,3
440,553,52,3
441,261,9,5
442,123,72,2
443,228,219,4
444,940,108,2
445,704,57,3
446,1237,41,5
447,349,148,5
448,471,23,4
449,1069,126,2
450,1212,122,4
451,572,4,4
452,506,64,3
453,890,149,2
454,1212,243,2
455,1175,230,1
456,856,12,1
457,964,188,5
458,69,109,5
459,808,123,1
460,927,127,2
461,171,143,1
462,1420,188,4
463,447,34,3
464,606,62,1
465,33,123,3
466,332,181,4
467,1169,192,5
468,50,250,4
469,950,198,2
470,1441,104,2
471,759,161,4
472,1442,163,1
473,1285,19,4
474,1415,86,5
475,67,76,4
476,553,179,5
477,1111,148,2
478,1403,21,5
479,688,189,1
480,1055,243,3
481,106,29,4
482,749,120,5
483,84,94,3
484,359,166,5
485,1444,18,5
486,1453,199,2
487,284,86,2
488,1106,30,4
489,1189,224,2
490,462,83,3
491,548,129,4
492,568,14,1
493,764,89,4
494,996,129,5
495,252,121,5
496,1390,212,5
497,599,116,5
498,754,205,1
499,386,229,4
500,179,21,4
501,367,74,1
502,224,43,3
503,230,179,2
504,1017,39,2
505,1067,244,1
506,601,107,5
507,271,122,3
508,861,114,1
509,598,49,1
510,46,224,2
511,1065,166,3
512,844,149,3
513,1343,166,3
514,996,152,5
515,1124,114,4
516,623,146,2
517,628,44,3
518,465,124,3
519,591,198,1
520,304,91,3
521,934,245,2
522,1267,237,2
523,1458,138,3
524,374,250,2
525,1451,178,2
526,331,61,1
527,85,82,5
528,260,113,3
529,758,48,2
530,1152,182,1
531,1364,82,3
532,303,96,4
533,1106,250,2
534,1093,78,1
535,52,104,4
536,298,243,4
537,656,40,1
538,1119,250,5
539,679,166,3
540,971,230,3
541,1175,171,2
542,1158,187,4
543,694,177,1
544,1499,123,1
545,286,174,5
546,240,79,1
547,823,159,2
548,914,92,1
549,669,15,5
550,1314,50,5
551,1079,57,3
552,401,6,1
553,1103,218,4
554,1387,172,1
555,1049,101,2
556,1005,82,5
557,1240,131,1
558,1366,93,4
559,303,184,4
560,758,99,3
561,25,73,3
562,720,79,4
563,1149,23,2
564,1491,228,4
565,852,206,4
566,592,42,4
567,1493,230,4
568,286,214,5
569,1225,23,2
570,426,78,4
571,1076,86,1
572,1210,194,4
573,182,2,4
574,1309,235,3
575,849,45,5
576,947,182,5
577,281,52,2
578,782,75,5
579,1005,11,3
580,1199,78,4
581,1146,190,4
582,460,7,1
583,316,68,3
584,1312,214,4
585,255,168,3
586,855,46,4
587,1409,166,2
588,59,31,3
589,1010,249,1
590,1227,191,3
591,1191,124,5
592,894,223,3
593,1287,176,4
594,1422,210,1
595,765,132,5
596,36,217,3
597,334,149,1
598,300,82,4
599,1420,35,3
600,335,14,3
601,740,108,3
602,100,75,3
603,1085,164,1
604,1053,50,2
605,194,154,2
606,1114,83,3
607,1403,205,3
608,556,176,3
609,197,137,5
610,721,211,2
611,27,36,5
612,577,96,4
613,844,88,2
614,210,56,2
615,1031,57,2
616,1145,158,5
617,1090,183,5
618,1439,194,1
619,855,118,1
620,239,210,2
621,36,123,3
622,639,177,3
623,285,210,4
624,1224,134,3
625,353,182,3
626,59,191,1
627,456,33,2
628,1410,59,3
629,257,54,2
630,161,109,1
631,160,5,4
632,884,11,2
633,221,9,5
634,1215,16,4
635,244,233,3
636,89,17,3
637,1368,3,1
638,254,236,5
639,421,151,2
640,379,172,3
641,60,24,2
642,569,243,5
643,713,91,2
644,1026,200,5
645,496,130,5
646,140,26,5
647,29,136,2
648,1466,50,3
649,352,231,5
650,9,250,1
651,439,236,5
652,1450,122,3
653,1430,151,2
654,901,173,1
655,371,214,3
656,778,109,2
657,1054,59,4
658,232,195,3
659,254,120,1
660,1065,35,4
661,740,181,3
662,1142,185,1
663,169,84,4
664,237,99,3
665,936,154,3
666,1408,250,4
667,463,142,4
668,596,219,4
669,387,220,1
670,975,241,3
671,368,4,4
672,1377,27,4
673,898,134,1
674,245,37,4
675,821,178,5
676,209,190,2
677,133,94,2
678,694,52,5
679,828,32,2
680,870,186,4
681,571,196,5
682,1216,70,4
683,730,122,5
684,829,125,5
685,572,38,4
686,222,32,3
687,1003,128,2
688,1287,242,2
689,61,26,1
690,140,128,1
691,367,98,5
692,1392,84,2
693,621,160,5
694,198,195,1
695,1354,193,5
696,1009,203,4
697,414,76,4
698,1005,130,3
699,1111,88,5
700,1120,5,1
701,882,226,1
702,786,116,3
703,771,114,4
704,74,9,2
705,1141,169,3
706,1447,43,4
707,883,35,3
708,1466,100,4
709,225,146,4
710,1352,142,5
711,1172,121,4
712,1152,219,2
713,1038,15,4
714,540,127,5
715,774,158,3
716,583,83,1
717,58,152,1
718,263,215,3
719,715,208,5
720,56,196,3
721,780,25,4
722,707,92,4
723,720,15,2
724,508,61,3
725,1214,22,1
726,625,30,3
727,348,6,5
728,668,10,4
729,1348,222,4
730,1164,132,4
731,547,6,4
732,1205,6,3
733,774,147,4
734,661,147,1
735,1001,26,2
736,689,128,5
737,1367,87,2
738,1260,77,3
739,893,52,4
740,1302,217,1
741,1098,55,3
742,544,13,3
743,1175,103,2
744,1280,191,1
745,1470,217,5
746,195,152,3
747,560,18,5
748,1088,122,4
749,430,89,1
750,1335,211,3
751,1034,206,3
752,887,170,5
753,642,52,4
754,824,65,5
755,1056,117,5
756,370,226,1
757,1286,181,5
758,383,148,4
759,437,170,4
760,549,240,5
761,1259,219,4
762,1160,187,1
763,1070,52,3
764,948,38,2
765,309,192,3
766,892,106,3
767,132,163,2
768,845,69,3
769,1324,42,3
770,1407,154,2
771,832,62,1
772,308,50,1
773,503,205,3
774,951,125,5
775,894,109,1
776,414,41,3
777,280,8,3
778,569,169,5
779,361,165,1
780,1480,125,1
781,114,221,1
782,643,155,3
783,131,231,4
784,745,172,1
785,813,242,2
786,484,29,5
787,1025,239,1
788,1069,171,5
789,1076,65,4
790,185,61,5
791,251,198,3
792,675,214,5
793,799,207,2
794,867,56,2
795,219,45,2
796,563,113,4
797,521,221,5
798,115,126,5
799,768,180,1
800,649,140,4
801,973,175,2
802,569,226,2
803,744,122,3
804,632,6,5
805,72,216,1
806,1415,235,2
807,519,142,4
808,634,164,3
809,1404,32,5
810,485,220,4
811,796,3,4
812,524,78,1
813,483,77,2
814,329,235,4
815,1294,82,4
816,70,71,1
817,1007,121,4
818,682,184,4
819,206,212,2
820,1431,67,5
821,136,91,4
822,1234,187,5
823,670,117,1
824,107,165,2
825,1291,114,2
826,7,103,2
827,1287,79,3
828,1180,22,1
829,324,64,5
830,1462,249,2
831,1217,176,4
832,655,116,4
833,274,67,2
834,1408,152,3
835,578,51,1
836,849,95,2
837,806,225,4
838,1169,58,1
839,48,237,5
840,1326,157,2
841,183,250,4
842,407,68,2
843,102,103,5
844,879,154,3
845,306,23,3
846,349,243,5
847,241,4,5
848,892,198,4
849,1380,127,1
850,460,183,2
851,391,243,3
852,590,192,4
853,783,34,4
854,424,154,2
855,580,187,2
856,857,47,4
857,299,8,3
858,537,61,5
859,924,233,2
860,758,150,4
861,176,3,4
862,273,224,3
863,1420,102,2
864,1461,99,4
865,1224,66,1
866,196,143,1
867,107,86,2
868,965,233,3
869,1242,241,5
870,1454,192,1
871,11,65,5
872,1270,98,3
873,809,172,3
874,271,248,5
875,85,149,2
876,534,44,5
877,1010,239,3
878,959,34,1
879,650,182,5
880,887,37,3
881,240,81,1
882,262,128,3
883,739,238,4
884,580,232,3
885,1256,213,3
886,1059,81,4
887,338,81,4
888,310,143,4
889,109,49,2
890,112,59,2
891,74,121,3
892,335,181,4
893,894,30,4
894,84,114,3
895,1453,144,4
896,938,127,1
897,1475,222,2
898,254,90,1
899,418,223,3
900,370,214,2
901,1042,211,3
902,1154,229,5
903,435,150,1
904,1078,197,5
905,370,107,1
906,505,197,4
907,1387,25,3
908,54,73,1
909,808,96,5
910,218,215,3
911,315,8,1
912,943,213,4
913,930,161,3
914,1217,169,1
915,675,249,1
916,1344,160,4
917,666,243,5
918,265,55,1
919,1319,73,3
920,114,191,1
921,1121,244,5
922,782,24,4
923,523,46,2
924,817,23,1
925,427,42,4
926,825,73,2
927,247,77,4
928,886,189,3
929,1403,155,2
930,736,171,1
931,753,132,2
932,1003,115,4
933,976,69,5
934,1230,109,1
935,866,208,3
936,1258,48,4
937,1292,110,1
938,83,132,3
939,950,174,2
940,1327,176,2
941,1015,135,5
942,172,75,4
943,896,21,4
944,616,39,2
945,1402,232,3
946,510,134,4
947,606,146,1
948,1129,20,1
949,1052,28,5
950,871,106,1
951,952,170,5
952,519,91,3
953,1200,21,5
954,34,30,4
955,368,202,2
956,805,12,1
957,853,225,3
958,643,151,4
959,1373,116,5
960,543,88,2
961,433,48,1
962,1238,67,1
963,889,137,1
964,12,102,1
965,28,44,4
966,943,178,4
967,1348,248,5
968,1487,125,3
969,1267,209,5
970,739,177,4
971,620,23,2
972,277,4,2
973,230,209,1
974,1426,249,2
975,55,54,4
976,1329,38,2
977,893,216,5
978,391,23,3
979,950,38,4
980,865,6,1
981,341,232,2
982,1439,114,4
983,966,6,4
984,1199,63,2
985,604,146,4
986,105,86,1
987,211,162,4
988,852,218,4
989,1186,153,5
990,596,10,4
991,819,125,5
992,1211,186,5
993,1390,232,4
994,475,183,1
995,1082,5,4
996,1181,81,5
997,131,69,4
998,970,30,4
999,1276,241,3
1000,919,179,4
1001,43,42,3
1002,1488,50,4
1003,705,113,2
1004,1040,57,5
1005,1403,87,5
1006,1465,169,4
1007,269,227,3
1008,1481,183,4
1009,854,214,3
1010,968,205,2
1011,1274,54,3
1012,1415,192,1
1013,1367,124,2
1014,355,52,2
1015,1241,126,1
1016,852,242,4
1017,622,61,2
1018,1141,13,1
1019,735,226,3
1020,732,174,2
1021,358,212,5
1022,66,207,1
1023,692,111,1
1024,1265,59,1
1025,1151,58,4
1026,529,88,3
1027,96,198,5
1028,548,230,2
1029,1414,224,5
1030,1238,172,1
1031,1447,13,4
1032,937,247,1
1033,217,201,5
1034,1249,201,1
1035,1152,11,5
1036,216,43,1
1037,421,234,3
1038,322,187,3
1039,1451,114,5
1040,1021,188,1
1041,316,166,3
1042,686,210,2
1043,252,218,2
1044,900,249,4
1045,14,63,4
1046,700,74,5
1047,351,22,3
1048,763,184,4
1049,739,162,2
1050,311,193,5
1051,864,202,2
1052,283,206,4
1053,847,236,4
1054,940,244,5
1055,1398,93,1
1056,907,38,1
1057,1470,207,5
1058,143,22,3
1059,645,103,2
1060,889,16,4
1061,76,170,2
1062,1177,15,5
1063,606,108,4
1064,1395,180,5
1065,624,185,3
1066,705,3,3
1067,1081,157,2
1068,1435,104,4
1069,1319,53,5
1070,1279,202,5
1071,1336,114,3
1072,1329,104,2
1073,618,22,1
1074,1101,86,4
1075,1486,185,2
1076,1066,139,3
1077,438,24,5
1078,1131,80,5
1079,698,194,2
1080,48,8,5
1081,1214,67,2
1082,623,186,4
1083,1035,29,1
1084,764,67,5
1085,726,32,1
1086,1334,241,1
1087,920,77,5
1088,11,117,3
1089,484,207,5
1090,1159,183,5
1091,1220,60,3
1092,613,73,5
1093,1378,36,4
1094,1065,189,2
1095,216,84,5
1096,1193,50,3
1097,931,26,2
1098,1458,109,4
1099,168,24,1
1100,871,228,2
1101,976,55,4
1102,160,95,5
1103,825,151,5
1104,1063,200,4
1105,541,150,4
1106,1304,109,4
1107,1412,239,4
1108,1499,250,4
1109,334,37,5
1110,261,125,4
1111,265,248,5
1112,1084,31,2
1113,933,122,1
1114,322,242,5
1115,757,236,1
1116,1233,219,4
1117,226,31,3
1118,1171,75,1
1119,1071,40,1
1120,761,79,3
1121,622,76,4
1122,58,203,2
1123,292,201,5
1124,864,13,3
1125,581,56,2
1126,1002,1,1
1127,1122,90,1
1128,92,107,4
1129,1174,80,5
1130,927,231,3
1131,773,122,5
1132,272,196,2
1133,1034,163,4
1134,922,171,4
1135,306,222,3
1136,183,205,5
1137,1361,160,4
1138,794,60,4
1139,695,139,1
1140,1374,228,4
1141,569,166,1
1142,340,182,1
1143,1172,162,3
1144,1150,166,1
1145,1319,144,1
1146,395,245,5
1147,1110,148,1
1148,1168,134,2
1149,975,129,1
1150,247,169,5
1151,369,247,1
1152,564,202,2
1153,503,213,5
1154,910,22,5
1155,1243,83,4
1156,1207,12,4
1157,48,88,4
1158,370,107,1
1159,1082,82,4
1160,527,24,1
1161,204,139,2
1162,585,37,2
1163,524,197,1
1164,316,79,4
1165,1390,44,1
1166,1259,247,3
1167,372,7,1
1168,611,100,1
1169,656,37,4
1170,664,67,4
1171,248,14,2
1172,491,193,5
1173,1201,61,4
1174,1042,193,5
1175,789,244,1
1176,552,16,3
1177,952,142,4
1178,135,124,1
1179,835,163,2
1180,39,69,5
1181,1201,173,1
1182,505,196,5
1183,1335,202,2
1184,624,146,4
1185,914,22,5
1186,417,201,2
1187,765,139,2
1188,503,138,4
1189,1137,116,1
1190,3,209,4
1191,1272,75,2
1192,2,16,4
1193,560,154,3
1194,1393,98,3
1195,1295,55,5
1196,1046,73,1
1197,331,190,5
1198,1154,18,3
1199,184,102,1
1200,287,186,5
1201,573,225,4
1202,432,157,5
1203,652,227,3
1204,1301,67,4
1205,560,63,3
1206,700,54,4
1207,1228,85,1
1208,1417,35,1
1209,1247,122,1
1210,20,173,2
1211,847,143,4
1212,805,138,1
1213,1330,167,1
1214,1104,8,4
1215,1377,32,3
1216,771,212,5
1217,734,100,2
1218,1428,3,1
1219,948,95,2
1220,911,3,2
1221,41,195,3
1222,1394,236,3
1223,393,24,5
1224,1281,78,2
1225,480,127,3
1226,76,72,4
1227,1442,181,5
1228,429,2,2
1229,1308,102,1
1230,569,146,5
1231,1012,44,5
1232,397,169,5
1233,1377,175,5
1234,1158,45,1
1235,1205,33,1
1236,261,67,5
1237,467,226,5
1238,1493,201,3
1239,393,218,1
1240,1420,174,5
1241,1259,65,5
1242,930,1,4
1243,1313,173,1
1244,662,111,4
1245,562,32,5
1246,956,127,3
1247,1060,195,1
1248,1478,58,1
1249,570,236,4
1250,1091,115,3
1251,11,101,2
1252,686,21,5
1253,52,189,2
1254,1413,109,1
1255,512,51,2
1256,675,80,1
1257,1283,161,1
1258,58,123,4
1259,50,152,3
1260,513,64,1
1261,970,62,3
1262,112,211,3
1263,1065,204,2
1264,150,199,5
1265,1269,113,1
1266,1281,115,5
1267,256,22,1
1268,69,97,3
1269,1421,17,2
1270,127,236,4
1271,113,78,5
1272,1283,111,1
1273,209,174,1
1274,1146,14,3
1275,782,103,1
1276,1265,193,4
1277,478,222,5
1278,1352,160,1
1279,929,99,4
1280,877,226,5
1281,1269,26,3
1282,1334,241,1
1283,930,133,3
1284,1204,50,1
1285,211,4,5
1286,1461,18,5
1287,397,232,5
1288,259,164,5
1289,525,91,4
1290,986,186,5
1291,911,48,2
1292,282,205,1
1293,124,33,3
1294,1198,112,5
1295,1335,194,3
1296,638,150,5
1297,299,38,4
1298,633,155,3
1299,597,95,1
1300,1061,151,2
1301,118,61,5
1302,1146,220,1
1303,865,89,2
1304,411,164,2
1305,141,88,2
1306,1368,122,4
1307,1229,178,3
1308,1185,145,3
1309,1262,77,4
1310,674,42,1
1311,931,225,1
1312,1016,57,1
1313,1309,58,2
1314,956,160,2
1315,490,124,3
1316,770,53,4
1317,378,212,1
1318,744,3,1
1319,733,8,5
1320,236,37,3
1321,902,50,5
1322,738,12,1
1323,408,51,3
1324,357,57,3
1325,1473,45,3
1326,1136,63,2
1327,402,6,2
1328,537,234,1
1329,43,213,2
1330,777,168,1
1331,694,240,2
1332,625,117,2
1333,758,208,3
1334,1354,44,5
1335,1277,226,4
1336,1457,17,1
1337,296,226,2
1338,389,50,5
1339,775,178,3
1340,652,154,4
1341,1303,63,1
1342,1262,151,2
1343,1097,76,2
1344,672,64,1
1345,1290,204,3
1346,259,218,5
1347,1197,227,4
1348,429,187,1
1349,964,203,5
1350,133,43,5
1351,795,193,5
1352,767,128,5
1353,951,46,3
1354,1460,96,5
1355,1423,124,4
1356,971,69,5
1357,822,164,5
1358,1331,10,2
1359,450,230,2
1360,926,221,2
1361,811,56,3
1362,871,228,4
1363,1171,41,3
1364,522,141,1
1365,276,193,1
1366,605,114,5
1367,721,59,5
1368,85,120,5
1369,1273,87,4
1370,924,120,4
1371,838,95,4
1372,650,70,4
1373,51,46,4
1374,479,68,1
1375,736,231,1
1376,604,216,5
1377,1051,140,1
1378,567,238,2
1379,202,31,1
1380,738,10,5
1381,411,86,2
1382,1383,85,3
1383,620,191,3
1384,391,181,5
1385,283,219,5
1386,535,3,3
1387,578,211,3
1388,828,243,4
1389,1188,194,1
1390,967,168,5
1391,306,222,4
1392,467,59,2
1393,972,60,5
1394,1203,202,5
1395,960,185,4
1396,698,203,1
1397,642,217,2
1398,879,198,4
1399,430,113,4
1400,1144,8,3
1401,285,148,2
1402,626,242,1
1403,1024,208,3
1404,696,58,4
1405,872,176,4
1406,1415,138,3
1407,668,151,1
1408,1163,202,1
1409,285,40,3
1410,1164,162,5
1411,1245,147,4
1412,781,53,4
1413,131,137,4
1414,386,122,1
1415,674,146,4
1416,1309,230,3
1417,191,44,1
1418,1383,142,2
1419,66,212,5
1420,1001,7,2
1421,408,18,4
1422,582,53,2
1423,597,169,5
1424,144,117,1
1425,755,133,1
1426,352,84,4
1427,801,41,1
1428,265,138,4
1429,980,191,1
1430,797,245,2
1431,267,223,2
1432,635,111,4
1433,326,155,5
1434,636,151,2
1435,1030,184,4
1436,565,52,1
1437,293,115,1
1438,818,155,2
1439,1077,85,5
1440,1006,118,4
1441,1180,11,1
1442,590,166,4
1443,711,180,3
1444,801,157,2
1445,851,64,2
1446,1266,188,4
1447,938,99,2
1448,1431,146,1
1449,806,179,1
1450,491,227,2
1451,561,226,5
1452,598,171,1
1453,1430,186,2
1454,1011,106,5
1455,249,95,1
1456,216,130,3
1457,840,116,2
1458,518,54,5
1459,92,119,1
1460,150,164,4
1461,781,88,4
1462,399,102,1
1463,22,65,1
1464,1453,235,2
1465,670,172,4
1466,993,119,1
1467,170,141,2
1468,1462,244,4
1469,288,121,3
1470,331,44,1
1471,1244,26,2
1472,603,32,5
1473,801,44,1
1474,1376,196,1
1475,1388,70,2
1476,903,92,2
1477,444,183,1
1478,1383,137,2
1479,906,179,1
1480,1301,208,5
1481,1313,170,1
1482,800,177,3
1483,910,14,5
1484,10,13,4
1485,414,238,2
1486,768,233,2
1487,410,24,1
1488,864,8,1
1489,691,211,2
1490,1393,172,1
1491,452,246,1
1492,1361,43,2
1493,91,107,5
1494,221,209,3
1495,661,144,2
1496,1280,54,5
1497,810,241,4
1498,248,60,2
1499,217,92,3
1500,356,4,4
1501,1340,81,1
1502,798,55,4
1503,451,17,3
1504,1332,160,3
1505,90,18,2
1506,842,78,5
1507,1024,27,5
1508,1166,44,3
1509,195,154,3
1510,1293,179,4
1511,1389,237,2
1512,681,45,3
1513,1365,124,1
1514,687,5,5
1515,1199,115,4
1516,1047,164,2
1517,1032,151,1
1518,477,6,5
1519,255,80,2
1520,878,194,2
1521,1270,21,1
1522,282,96,4
1523,608,52,2
1524,770,53,1
1525,488,237,5
1526,909,190,3
1527,275,72,3
1528,1319,202,1
1529,1067,203,4
1530,1328,209,3
1531,49,59,3
1532,702,63,2
1533,1105,14,2
1534,1408,179,2
1535,1246,224,4
1536,1068,83,2
1537,906,162,1
1538,133,223,4
1539,144,245,2
1540,107,163,2
1541,419,33,1
1542,356,152,5
1543,419,61,5
1544,161,110,4
1545,638,43,2
1546,502,109,2
1547,1241,64,3
1548,585,148,4
1549,1302,52,3
1550,986,21,3
1551,816,97,2
1552,965,113,4
1553,1035,157,4
1554,320,210,4
1555,41,196,4
1556,876,219,1
1557,615,153,5
1558,313,142,2
1559,527,98,4
1560,627,117,3
1561,769,144,5
1562,985,19,3
1563,280,184,4
1564,401,40,2
1565,9,4,5
1566,1496,186,3
1567,1007,104,4
1568,809,249,3
1569,787,126,3
1570,1313,151,1
1571,838,227,1
1572,255,99,5
1573,333,50,4
1574,523,198,3
1575,1044,182,4
1576,1301,177,3
1577,1427,15,4
1578,869,189,2
1579,497,123,1
1580,741,162,1
1581,1429,171,2
1582,536,155,4
1583,1395,38,3
1584,507,155,5
1585,1358,216,2
1586,26,30,1
1587,1320,183,4
1588,815,181,5
1589,165,133,2
1590,867,43,4
1591,518,178,3
1592,1026,248,5
1593,1349,227,4
1594,1201,79,4
1595,1491,223,1
1596,224,163,5
1597,706,209,2
1598,551,192,2
1599,816,179,3
1600,14,44,4
1601,4,25,1
1602,1427,107,5
1603,854,168,3
